timestamp,steps,data source
2026-06-04T20:13:00Z,41,Versa 4
2026-06-04T20:14:00Z,65,Versa 4
2026-06-04T20:15:00Z,61,Versa 4
2026-06-04T20:16:00Z,34,Versa 4
2026-06-04T20:17:00Z,92,Versa 4
2026-06-04T20:18:00Z,51,Versa 4
2026-06-04T20:19:00Z,44,Versa 4
2026-06-04T20:20:00Z,72,Versa 4
2026-06-04T20:21:00Z,37,Versa 4
2026-06-04T20:22:00Z,35,Versa 4
2026-06-04T20:23:00Z,48,Versa 4
2026-06-04T20:24:00Z,9,Versa 4
2026-06-04T20:25:00Z,18,Versa 4
2026-06-04T20:26:00Z,43,Versa 4
2026-06-04T20:27:00Z,82,Versa 4
2026-06-04T20:28:00Z,56,Versa 4
2026-06-04T20:29:00Z,77,Versa 4
2026-06-04T20:30:00Z,68,Versa 4
2026-06-04T20:31:00Z,88,Versa 4
2026-06-04T20:32:00Z,55,Versa 4
2026-06-04T20:33:00Z,51,Versa 4
2026-06-04T20:34:00Z,28,Versa 4
2026-06-04T20:35:00Z,22,Versa 4
2026-06-04T20:36:00Z,44,Versa 4
2026-06-04T20:37:00Z,57,Versa 4
2026-06-04T20:38:00Z,66,Versa 4
